rcid,mean_beta,q025,q975
4108,-0.5705330948453915,-0.852779759220098,-0.3193588985112857
4109,-0.7918887046039821,-1.0813566445401899,-0.5300010749456922
4110,0.0013864030805831118,-0.14165889941022713,0.1204269538602208
4141,0.14680031678089675,0.03918658340155866,0.2385056996124203
4153,-0.6543190271777671,-0.9574972370971506,-0.4293545508712314
4162,-1.2995812408454537,-1.8231223780762789,-0.8918042158195733
4163,0.29115502498540774,0.18729384473729618,0.42995626145959476
4164,0.5068904477089389,0.3466590961104765,0.7158516788022754
4165,0.016418071556579192,-0.11957559242614105,0.11866730044442568
4166,0.03013922391495733,-0.0857851330465487,0.15112641229005286
4169,-0.6229007208031052,-0.9611650211918606,-0.3323120424632997
4170,-0.013363051702858309,-0.16903532805260657,0.14877381491181996
4182,-0.545747583272442,-0.7340456388098298,-0.3669513458018146
4184,-0.0922297978328058,-0.23111981473738913,0.010680641937129122
4186,-0.6192981996615216,-0.8711407081876806,-0.41343446535308404
4195,-0.2970274703716574,-0.6079372965587225,-0.09044985568475197
4197,-0.4565094538606982,-0.7076587668387526,-0.25792505542028676
4217,-0.16236905316914396,-0.36448226943627193,0.005795256567899031
4228,0.52190164252366,0.3573322089718057,0.6774517560838516
4229,0.2848120184979092,0.18443853618731645,0.39936040797609634
4232,0.11390913831340203,0.016733423511426017,0.23614465275283342
4233,0.043773393426313596,-0.07650428524555744,0.15211948366672634
4234,-0.9359409586597951,-1.7316333831768727,-0.4345787219474005
4241,-0.683614058015066,-1.0541253014286003,-0.37488903505608917
4246,-0.5488733552740008,-0.7908711063441756,-0.3525683674281109
4247,-0.2850704216415527,-0.4736454026706058,-0.11382270025023057
4252,-1.034311816804907,-1.3636474222048767,-0.6752166407931943
4260,-0.5299300452979263,-0.8257997948338897,-0.3222490969382418
4269,0.13445840823202093,0.04400179818342332,0.24466103139321183
4273,0.054536600839906815,-0.05348702043196175,0.17871879145047379
4276,-1.189844702682153,-1.5408242950533746,-0.7860095893675784
4279,0.5678253454622897,0.37610356549366963,0.7825966239562939
4280,0.27532911349954436,0.1720787150451187,0.39058973404441033
4306,-1.0381862971209457,-1.8856831826548686,-0.5461775767131866
4312,-0.5863483043256756,-0.8048192270899271,-0.3785726176989653
4322,-0.9656606071079,-1.2712711704006519,-0.6358331617321293
4325,-0.55792841739558,-0.8909661885389475,-0.2455756151946605
4331,-0.8485819079859653,-1.2700563820376691,-0.4454355401473938
4352,-1.4361181145751134,-1.9011457780211412,-1.0354146458782199
4360,-1.3640548600904614,-1.9437549838724726,-0.9719831291374521
4361,0.5608099920085637,0.3717905417511818,0.738174326939995
4362,0.27453774631561634,0.1666579944643198,0.3714552166363804
4363,0.27520835304006597,0.15182687612024157,0.39571261356831317
4373,-0.09683413250126009,-0.24310085076530963,0.017342189389062127
4374,-0.6621717599671534,-1.1172659699196865,-0.3149943650894558
4385,-0.5807559235646068,-1.0422044476632923,-0.2324330914013883
4391,-0.10231101083635735,-0.22310326146528245,0.00701757647121441
4396,-0.5013314233205887,-0.7878688730794514,-0.24193399998261295
4410,-0.8542652101631972,-1.1274304168847218,-0.5927184697729452
4422,-1.268285389656815,-1.8293727919894356,-0.7966181413167261
4424,-1.0450565169936175,-1.9698704865883752,-0.494214741187318
4425,-1.3261848751077274,-2.2321898289248856,-0.674253494040088
